timestamp,rmssd,coverage,low_frequency,high_frequency
2021-05-12T03:50:00,27.121,0.992,248.901,217.249
2021-05-12T03:55:00,34.047,0.949,1246.689,295.236
2021-05-12T04:00:00,41.709,0.99,1325.107,566.551
2021-05-12T04:05:00,35.36,1.001,805.701,272.007
2021-05-12T04:10:00,38.91,1.006,1683.483,330.033
2021-05-12T04:15:00,38.722,1.001,904.108,399.848
2021-05-12T04:20:00,35.73,1.003,686.99,299.337
2021-05-12T04:25:00,40.472,0.869,3031.153,478.385
2021-05-12T04:30:00,46.916,0.937,3781.375,358.637
2021-05-12T04:35:00,47.134,0.946,2870.919,751.299
2021-05-12T04:40:00,38.317,0.917,1369.871,321.474
2021-05-12T04:45:00,31.467,1.003,1666.2,276.197
2021-05-12T04:50:00,22.808,0.907,496.791,103.49
2021-05-12T04:55:00,23.431,1.005,450.163,95.626
2021-05-12T05:00:00,30.025,0.977,816.157,229.902
2021-05-12T05:05:00,36.27,0.989,2770.067,394.669
2021-05-12T05:10:00,33.722,0.991,1333.979,308.024
2021-05-12T05:15:00,34.774,0.929,1447.931,202.067
2021-05-12T05:20:00,36.205,0.931,1024.801,365.165
2021-05-12T05:25:00,53.603,0.936,1256.591,614.687
2021-05-12T05:30:00,51.529,0.983,887.074,447.585
2021-05-12T05:35:00,49.331,0.993,705.801,439.927
2021-05-12T05:40:00,49.183,1.005,550.033,411.935
2021-05-12T05:45:00,48.116,0.903,3748.017,206.057
2021-05-12T05:50:00,43.423,1.001,797.582,377.072
2021-05-12T05:55:00,39.426,1.005,449.996,413.709
2021-05-12T06:00:00,47.612,0.892,1013.934,467.469
2021-05-12T06:05:00,55.779,0.907,3359.117,465.38
2021-05-12T06:10:00,46.033,0.993,1390.752,568.495
2021-05-12T06:15:00,40.382,0.97,1624.971,641.628
2021-05-12T06:20:00,40.458,0.897,1164.123,210.975
2021-05-12T06:25:00,30.79,1.003,1490.314,210.763
2021-05-12T06:30:00,28.301,1.001,712.851,120.591
2021-05-12T06:35:00,33.856,0.911,1391.615,359.746
2021-05-12T06:40:00,35.202,0.994,1075.919,266.677
2021-05-12T06:45:00,30.857,0.997,1307.918,166.932
2021-05-12T06:50:00,33.109,0.944,1921.781,243.581
2021-05-12T06:55:00,41.202,0.987,3322.806,321.227
2021-05-12T07:00:00,41.36,0.845,1484.751,319.333
2021-05-12T07:05:00,36.035,0.929,1894.452,213.402
2021-05-12T07:10:00,32.749,0.987,802.938,222.168
2021-05-12T07:15:00,31.248,1.006,566.745,196.404
2021-05-12T07:20:00,28.718,1.002,651.108,187.394
2021-05-12T07:25:00,41.681,0.953,890.461,379.749
2021-05-12T07:30:00,44.014,0.892,3582.004,453.627
2021-05-12T07:35:00,42.03,1.003,1343.679,336.212
2021-05-12T07:40:00,39.022,1.005,910.235,285.859
2021-05-12T07:45:00,39.696,1.002,1138.993,278.555
2021-05-12T07:50:00,44.547,0.932,3350.156,293.417
2021-05-12T07:55:00,46.406,0.879,4747.596,291.461
2021-05-12T08:00:00,38.207,0.97,1406.571,283.952
2021-05-12T08:05:00,34.809,0.962,1911.972,350.249
2021-05-12T08:10:00,26.998,0.94,601.393,115.557
2021-05-12T08:15:00,27.262,0.952,1298.514,177.19
2021-05-12T08:20:00,22.234,0.905,536.436,49.41
2021-05-12T08:25:00,32.716,0.993,973.92,236.026
2021-05-12T08:30:00,41.079,0.95,1359.227,292.447
2021-05-12T08:35:00,53.576,0.987,1147.727,1018.39
2021-05-12T08:40:00,49.715,0.838,3523.479,533.725
2021-05-12T08:45:00,41.709,0.952,1960.835,258.608
2021-05-12T08:50:00,37.838,0.973,989.21,296.697
2021-05-12T08:55:00,30.142,1.003,836.558,175.353
2021-05-12T09:00:00,39.689,0.902,2185.821,185.255
2021-05-12T09:05:00,46.81,0.834,4789.734,457.328
2021-05-12T09:10:00,46.626,0.757,2122.778,616.272
